CASE_ID,CLUSTER
2025107105,0
2025107223,3
2025107415,3
2025107411,3
2025107384,0
2025107616,3
2025107681,3
2025107683,3
2025107887,3
2025108058,3
2025108141,3
2025108639,3
2025108668,3
2025108680,3
2025108712,3
2025108754,3
2025108846,3
2025109065,0
2025109120,3
2025109319,3
2025109314,3
2025109337,3
2025109582,0
2025109597,3
2025109656,3
2025109768,3
2025109780,3
2025109800,3
2025109789,3
2025109877,3
2025110087,3
2025110135,3
2025110173,3
2025110480,3
2025110520,3
2025110528,3
2025110674,3
2025110893,3
2025111109,3
2025111193,2
2025111221,2
2025111240,2
2025111271,0
2025111279,2
2025111425,2
2025111522,2
2025111598,2
2025111611,2
2025111648,2
2025111925,2
2025111949,2
2025111947,2
2025112391,2
2025112462,2
2025112514,2
2025112563,2
2025112715,2
2025112798,2
2025112909,2
2025113186,2
2025113314,2
2025113339,2
2025113411,2
2025113679,2
2025113815,2
2025114069,2
2025114155,2
2025114172,2
2025114213,2
2025114280,2
2025114301,2
2025114451,2
2025114571,0
2025114591,0
2025114826,2
2025115055,2
2025115174,2
2025115208,2
2025115284,2
2025115331,2
2025115424,3
2025115548,3
2025115710,3
2025116125,3
2025116212,3
2025116309,3
2025116401,3
2025116404,3
2025116430,3
2025116448,3
2025116510,3
2025116539,3
2025116674,3
2025116718,3
2025116886,3
2025116945,3
2025116994,3
2025117035,3
2025117165,3
2025117242,3
2025117278,3
2025117327,3
2025117375,3
2025117427,3
2025117564,3
2025117633,3
2025117664,3
2025117683,3
2025117684,3
2025117967,3
2025118019,3
2025118105,3
2025118136,3
2025118128,3
2025118367,3
2025118433,3
2025118554,3
2025118614,3
2025118695,3
2025118726,3
2025118766,0
2025118827,3
2025118874,3
2025119059,3
2025119344,0
2025119551,0
2025119921,3
2025120146,3
2025120263,3
2025120272,3
2025120330,3
2025120367,3
2025120498,2
2025120662,2
2025120795,2
2025121033,2
2025121038,2
2025121149,2
2025121148,2
2025121160,2
2025121368,2
2025121456,2
2025121573,2
2025121657,2
2025121655,2
2025121689,2
2025121704,2
2025121779,2
2025121859,2
2025121914,2
2025121934,2
2025122112,2
2025122206,2
2025122248,0
2025122288,2
2025122541,2
2025122682,0
2025122697,0
2025122737,0
2025122890,2
2025123208,2
2025123225,2
2025123229,2
2025123227,2
2025123331,0
2025123474,2
2025123557,2
2025123590,2
2025123610,0
2025123621,2
2025123624,2
2025123740,2
2025123750,2
2025123940,2
2025123944,2
2025123945,0
2025123959,2
2025123989,2
2025123995,2
2025123999,2
2025124098,2
2025124102,2
2025124148,2
2025124166,2
2025124214,2
2025124226,2
2025124284,2
2025124292,0
2025124323,2
2025124360,2
2025124425,2
2025124462,2
2025124563,2
2025124570,2
2025124690,2
2025124771,2
2025124878,2
2025124883,2
2025124917,2
2025124956,2
2025125006,3
2025125010,0
2025125034,3
2025125071,3
2025125094,3
2025125100,3
2025125151,3
2025125346,3
2025125724,3
2025125833,3
2025125857,3
2025125865,3
2025125926,3
2025125940,3
2025126001,3
2025126034,3
2025126061,3
2025126150,3
2025126162,3
2025126178,3
2025126188,3
2025126204,3
2025126217,0
2025126245,0
2025126282,3
2025126293,3
2025126349,3
2025126456,3
2025126460,3
2025126464,3
2025126606,3
2025126647,3
2025126667,0
2025126710,3
2025126731,3
2025126802,3
2025126860,3
2025126903,3
2025127093,3
2025127349,3
2025127452,3
2025127555,3
2025127640,3
2025127686,3
2025127730,3
2025127943,3
2025128168,3
2025128195,3
2025128238,3
2025128299,3
2025128297,3
2025128528,3
2025128550,3
2025128854,3
2025128860,3
2025128978,3
2025129026,3
2025129055,3
2025129084,0
2025129100,0
2025129131,3
2025129206,3
2025129238,3
2025129253,3
2025129438,3
2025129652,3
2025129688,3
2025129755,3
2025130012,0
2025130189,2
2025130246,2
2025130324,0
2025130417,2
2025130435,2
2025130474,2
2025130563,2
2025130644,2
2025130658,2
2025130732,2
2025130726,2
2025130733,2
2025130847,2
2025130854,2
2025130920,2
2025130979,2
2025131046,2
2025131056,2
2025131197,2
2025131350,2
2025131409,2
2025131452,2
2025131515,0
2025131578,2
2025131607,2
2025131723,2
2025131763,0
2025131823,2
2025132250,2
2025132356,2
2025132480,2
2025132510,2
2025132540,0
2025132601,2
2025132701,2
2025132757,2
2025132812,2
2025132814,2
2025132870,2
2025132935,2
2025133030,2
2025133043,2
2025133095,2
2025133244,2
2025133241,2
2025133330,2
2025133502,0
2025133571,2
2025133647,2
2025133679,2
2025133786,2
2025133799,2
2025133794,2
2025133938,2
2025134045,2
2025134080,2
2025134105,2
2025134156,0
2025134314,3
2025134315,3
2025134321,3
2025134394,3
2025134403,3
2025134636,0
2025134665,3
2025134673,3
2025134693,3
2025134811,3
